,product_id,path,type,position,created_at_x,updated_at_x,upc,name,slug,description,is_promotion,is_visible,created_at_y,updated_at_y,drophub,attributes
693,157,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NGM5EXNF7AT4DSMV6TJF1K.webp,thumbnail,1,2025-10-03 20:36:30,2025-10-03 20:36:30,,Limited overcoat F(gray),68dfff6d3e9b3,"جنس:فوتر
رنگ:طوسی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:23:01,2025-10-11 14:00:16,,
694,157,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NGMX87GBSRT0PAT1A4XRFD.webp,image,1,2025-10-03 20:36:54,2025-10-03 20:36:54,,Limited overcoat F(gray),68dfff6d3e9b3,"جنس:فوتر
رنگ:طوسی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:23:01,2025-10-11 14:00:16,,
695,157,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NGP41D66YEGTVHAT8NGB02.webp,image,1,2025-10-03 20:37:34,2025-10-03 20:37:34,,Limited overcoat F(gray),68dfff6d3e9b3,"جنس:فوتر
رنگ:طوسی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:23:01,2025-10-11 14:00:16,,
696,158,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NH48RNTE0RESMG5NH1WFSC.webp,thumbnail,1,2025-10-03 20:45:17,2025-10-03 20:45:17,,Limited overcoat F(black),68e00339b86b3,"جنس:فوتر
رنگ:مشکی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:39:13,2025-10-11 14:00:31,,
697,158,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NH5FK010C1693BKGDJNV4T.webp,image,1,2025-10-03 20:45:57,2025-10-03 20:45:57,,Limited overcoat F(black),68e00339b86b3,"جنس:فوتر
رنگ:مشکی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:39:13,2025-10-11 14:00:31,,
698,158,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NH6AN6J1REY8HR1GNFNMK6.webp,image,1,2025-10-03 20:46:24,2025-10-03 20:46:24,,Limited overcoat F(black),68e00339b86b3,"جنس:فوتر
رنگ:مشکی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:39:13,2025-10-11 14:00:31,,
699,158,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NH784F5AWHSR86SYYCDFT1.webp,image,1,2025-10-03 20:46:55,2025-10-03 20:46:55,,Limited overcoat F(black),68e00339b86b3,"جنس:فوتر
رنگ:مشکی
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 20:39:13,2025-10-11 14:00:31,,
700,159,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NK2T5W5BBYJCK9KSKZQERT.webp,thumbnail,1,2025-10-03 21:19:27,2025-10-03 21:19:27,,Limited overcoat F(nescafe),68e00c08169b2,"جنس:فوتر
رنگ:نسکافه ای
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 21:16:48,2025-10-11 14:00:45,,
701,159,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NK3H9KHNAPCZD6GG5D2B1F.webp,image,1,2025-10-03 21:19:50,2025-10-03 21:19:50,,Limited overcoat F(nescafe),68e00c08169b2,"جنس:فوتر
رنگ:نسکافه ای
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 21:16:48,2025-10-11 14:00:45,,
702,159,http://cdn.mouherwear1.comhttp://cdn.mouherwear1.com/01K6NK4682HHFRXN5ZQJ3YZK1D.webp,image,1,2025-10-03 21:20:12,2025-10-03 21:20:12,,Limited overcoat F(nescafe),68e00c08169b2,"جنس:فوتر
رنگ:نسکافه ای
فری سایز(عرض سینه60/عرض شانه46/قد115)

قد مدل173 و سایز 38",0,1,2025-10-03 21:16:48,2025-10-11 14:00:45,,
