id,variant_attribute_id,name,category,value
100531,2,60-64,,60-64
100535,2,34-40,,34-40
100536,2,34-46,,34-46
100537,2,34-36,,34-36
100538,2,36-40,,36-40
100539,2,36-42,,36-42
100540,2,36-44,,36-44
100541,2,36-46,,36-46
100542,2,36-50,,36-50
100544,2,34-38,,34-38
100545,2,36-38,,36-38
100546,2,38-40,,38-40
100547,2,38-42,,38-42
100548,2,38-44,,38-44
100549,2,38-46,,38-46
100550,2,38-48,,38-48
100551,2,38-54,,38-54
100552,2,38-58,,38-58
100554,2,40-46,,40-46
100555,2,40-50,,40-50
100556,2,40-52,,40-52
100557,2,40-42,,40-42
100558,2,42-46,,42-46
100559,2,42-50,,42-50
100560,2,34-44,,34-44
100561,2,40-44,,40-44
100562,2,42-44,,42-44
100563,2,44-54,,44-54
100564,2,44-46,,44-46
100565,2,46-56,,46-56
100567,2,46-65,,46-65
100569,2,42-48,,42-48
100570,2,48-56,,48-56
100571,2,48-58,,48-58
100574,2,46-50,,46-50
100575,2,50-58,,50-58
100577,2,44-52,,44-52
100578,2,46-52,,46-52
100579,2,54-56,,54-56
100580,2,54-58,,54-58
100581,2,54-60,,54-60
100583,2,52-58,,52-58
100585,2,54-62,,54-62
100587,2,60-66,,60-66
100588,2,64-70,,64-70
100606,2,146-152,,146-152
100629,2,24-32,,24-32
100635,2,25-32,,25-32
100636,2,26-27,,26-27
100637,2,26-28,,26-28
100638,2,26-30,,26-30
100639,2,26-32,,26-32
100640,2,26-34,,26-34
100641,2,27-28,,27-28
100643,2,27-30,,27-30
100645,2,27-32,,27-32
100646,2,27-34,,27-34
100650,2,36-52,,36-52
100651,2,36-60,,36-60
100654,2,37-42,,37-42
100655,2,30-38,,30-38
100656,2,32-38,,32-38
100660,2,38-50,,38-50
100664,2,30-40,,30-40
100665,2,32-40,,32-40
100668,2,40-43,,40-43
100670,2,40-48,,40-48
100678,2,30-42,,30-42
100679,2,32-42,,32-42
100681,2,34-42,,34-42
100685,2,30-44,,30-44
100686,2,32-44,,32-44
100690,2,44-50,,44-50
100692,2,44-58,,44-58
100695,2,30-46,,30-46
100696,2,32-46,,32-46
100698,2,46-48,,46-48
100699,2,46-54,,46-54
100702,2,48-50,,48-50
100704,2,48-52,,48-52
100705,2,50-54,,50-54
100707,2,50-56,,50-56
100708,2,50-60,,50-60
100709,2,50-62,,50-62
100719,2,56-58,,56-58
100720,2,56-60,,56-60
100721,2,58-60,,58-60
103041,2,فری سایز,,فری سایز
103224,2,32-36,,32-36
103244,2,28-30,,28-30
103245,2,28-32,,28-32
103247,2,28-34,,28-34
103248,2,29-28,,29-28
103249,2,29-30,,29-30
103250,2,29-32,,29-32
103251,2,29-34,,29-34
103252,2,30-28,,30-28
103255,2,30-32,,30-32
103257,2,30-34,,30-34
103260,2,31-28,,31-28
103261,2,31-30,,31-30
103262,2,31-32,,31-32
103265,2,31-36,,31-36
103269,2,32-30,,32-30
103270,2,32-31,,32-31
103272,2,32-34,,32-34
103275,2,33-32,,33-32
103276,2,33-34,,33-34
103280,2,34-30,,34-30
103282,2,34-32,,34-32
103292,2,36-30,,36-30
103294,2,36-32,,36-32
103356,2,W52/L28,,W52/L28
104787,2,38 - 46,,38 - 46
